name,type,xcode
Region I,region,010000000
Ilocos Norte,province,01IN00000
Adams,city,01IN01000
Adams,district,01IN01001
Bacarra,city,01IN02000
Bani,district,01IN02001
Buyon,district,01IN02002
Cabaruan,district,01IN02003
Cabulalaan,district,01IN02004
Cabusligan,district,01IN02005
Cadaratan,district,01IN02006
Calioet-Libong,district,01IN02007
Casilian,district,01IN02008
Corocor,district,01IN02009
Duripes,district,01IN02011
Ganagan,district,01IN02012
Libtong,district,01IN02013
Macupit,district,01IN02014
Nambaran,district,01IN02015
Natba,district,01IN02016
Paninaan,district,01IN02017
Pasiocan,district,01IN02018
Pasngal,district,01IN02019
Pipias,district,01IN02020
Pulangi,district,01IN02021
Pungto,district,01IN02022
San Agustin I,district,01IN02024
San Agustin II,district,01IN02025
San Andres I,district,01IN02027
San Andres II,district,01IN02028
San Gabriel I,district,01IN02030
San Gabriel II,district,01IN02031
San Pedro I,district,01IN02033
San Pedro II,district,01IN02034
San Roque I,district,01IN02036
San Roque II,district,01IN02037
San Simon I,district,01IN02039
San Simon II,district,01IN02040
San Vicente,district,01IN02041
Sangil,district,01IN02042
Santa Filomena I,district,01IN02044
Santa Filomena II,district,01IN02045
Santa Rita,district,01IN02046
Santo Cristo I,district,01IN02047
Santo Cristo II,district,01IN02048
Tambidao,district,01IN02050
Teppang,district,01IN02051
Tubburan,district,01IN02052
Badoc,city,01IN03000
Alay-Nangbabaan,district,01IN03001
Alogoog,district,01IN03002
Ar-Arusip,district,01IN03003
Aring,district,01IN03004
Balbaldez,district,01IN03005
Bato,district,01IN03006
Camanga,district,01IN03007
Canaan,district,01IN03008
Caraitan,district,01IN03009
Gabut Norte,district,01IN03011
Gabut Sur,district,01IN03012
Garreta,district,01IN03013
Labut,district,01IN03016
Lacuben,district,01IN03017
Lubigan,district,01IN03018
Mabusag Norte,district,01IN03020
Mabusag Sur,district,01IN03021
Madupayas,district,01IN03022
Morong,district,01IN03023
Nagrebcan,district,01IN03025
Napu,district,01IN03026
La Virgen Milagrosa,district,01IN03027
Pagsanahan Norte,district,01IN03028
Pagsanahan Sur,district,01IN03029
Paltit,district,01IN03030
Parang,district,01IN03031
Pasuc,district,01IN03032
Santa Cruz Norte,district,01IN03034
Santa Cruz Sur,district,01IN03035
Saud,district,01IN03036
Turod,district,01IN03037
Bangui,city,01IN04000
Abaca,district,01IN04001
Bacsil,district,01IN04002
Banban,district,01IN04003
Baruyen,district,01IN04004
Dadaor,district,01IN04005
Lanao,district,01IN04006
Malasin,district,01IN04007
Manayon,district,01IN04008
Masikil,district,01IN04009
Nagbalagan,district,01IN04010
Payac,district,01IN04011
San Lorenzo,district,01IN04012
Taguiporo,district,01IN04014
Utol,district,01IN04015
Batac City,city,01IN05000
Aglipay,district,01IN05001
Baay,district,01IN05002
Baligat,district,01IN05003
Bungon,district,01IN05004
Baoa East,district,01IN05005
Baoa West,district,01IN05006
Barani,district,01IN05007
Ben-Agan,district,01IN05009
Bil-Loca,district,01IN05010
Biningan,district,01IN05011
Callaguip,district,01IN05012
Camandingan,district,01IN05013
Camguidan,district,01IN05014
Cangrunaan,district,01IN05015
Capacuan,district,01IN05016
Caunayan,district,01IN05017
Valdez Pob.,district,01IN05018
Colo,district,01IN05019
Pimentel,district,01IN05020
Dariwdiw,district,01IN05021
Acosta Pob.,district,01IN05022
Ablan Pob.,district,01IN05023
Lacub,district,01IN05024
Mabaleng,district,01IN05025
Magnuang,district,01IN05026
Maipalig,district,01IN05027
