region,province,city,district,psgc,xcode
Region I,Ilocos Norte,Adams,Adams,012801001,01IN01001
Region I,Ilocos Norte,Bacarra,Bani,012802001,01IN02001
Region I,Ilocos Norte,Bacarra,Buyon,012802002,01IN02002
Region I,Ilocos Norte,Bacarra,Cabaruan,012802003,01IN02003
Region I,Ilocos Norte,Bacarra,Cabulalaan,012802004,01IN02004
Region I,Ilocos Norte,Bacarra,Cabusligan,012802005,01IN02005
Region I,Ilocos Norte,Bacarra,Cadaratan,012802006,01IN02006
Region I,Ilocos Norte,Bacarra,Calioet-Libong,012802007,01IN02007
Region I,Ilocos Norte,Bacarra,Casilian,012802008,01IN02008
Region I,Ilocos Norte,Bacarra,Corocor,012802009,01IN02009
Region I,Ilocos Norte,Bacarra,Duripes,012802011,01IN02011
Region I,Ilocos Norte,Bacarra,Ganagan,012802012,01IN02012
Region I,Ilocos Norte,Bacarra,Libtong,012802013,01IN02013
Region I,Ilocos Norte,Bacarra,Macupit,012802014,01IN02014
Region I,Ilocos Norte,Bacarra,Nambaran,012802015,01IN02015
Region I,Ilocos Norte,Bacarra,Natba,012802016,01IN02016
Region I,Ilocos Norte,Bacarra,Paninaan,012802017,01IN02017
Region I,Ilocos Norte,Bacarra,Pasiocan,012802018,01IN02018
Region I,Ilocos Norte,Bacarra,Pasngal,012802019,01IN02019
Region I,Ilocos Norte,Bacarra,Pipias,012802020,01IN02020
Region I,Ilocos Norte,Bacarra,Pulangi,012802021,01IN02021
Region I,Ilocos Norte,Bacarra,Pungto,012802022,01IN02022
Region I,Ilocos Norte,Bacarra,San Agustin I,012802024,01IN02024
Region I,Ilocos Norte,Bacarra,San Agustin II,012802025,01IN02025
Region I,Ilocos Norte,Bacarra,San Andres I,012802027,01IN02027
Region I,Ilocos Norte,Bacarra,San Andres II,012802028,01IN02028
Region I,Ilocos Norte,Bacarra,San Gabriel I,012802030,01IN02030
Region I,Ilocos Norte,Bacarra,San Gabriel II,012802031,01IN02031
Region I,Ilocos Norte,Bacarra,San Pedro I,012802033,01IN02033
Region I,Ilocos Norte,Bacarra,San Pedro II,012802034,01IN02034
Region I,Ilocos Norte,Bacarra,San Roque I,012802036,01IN02036
Region I,Ilocos Norte,Bacarra,San Roque II,012802037,01IN02037
Region I,Ilocos Norte,Bacarra,San Simon I,012802039,01IN02039
Region I,Ilocos Norte,Bacarra,San Simon II,012802040,01IN02040
Region I,Ilocos Norte,Bacarra,San Vicente,012802041,01IN02041
Region I,Ilocos Norte,Bacarra,Sangil,012802042,01IN02042
Region I,Ilocos Norte,Bacarra,Santa Filomena I,012802044,01IN02044
Region I,Ilocos Norte,Bacarra,Santa Filomena II,012802045,01IN02045
Region I,Ilocos Norte,Bacarra,Santa Rita,012802046,01IN02046
Region I,Ilocos Norte,Bacarra,Santo Cristo I,012802047,01IN02047
Region I,Ilocos Norte,Bacarra,Santo Cristo II,012802048,01IN02048
Region I,Ilocos Norte,Bacarra,Tambidao,012802050,01IN02050
Region I,Ilocos Norte,Bacarra,Teppang,012802051,01IN02051
Region I,Ilocos Norte,Bacarra,Tubburan,012802052,01IN02052
Region I,Ilocos Norte,Badoc,Alay-Nangbabaan,012803001,01IN03001
Region I,Ilocos Norte,Badoc,Alogoog,012803002,01IN03002
Region I,Ilocos Norte,Badoc,Ar-Arusip,012803003,01IN03003
Region I,Ilocos Norte,Badoc,Aring,012803004,01IN03004
Region I,Ilocos Norte,Badoc,Balbaldez,012803005,01IN03005
Region I,Ilocos Norte,Badoc,Bato,012803006,01IN03006
Region I,Ilocos Norte,Badoc,Camanga,012803007,01IN03007
